feature,importance,abs_importance
ppersaut,0.13903030910258282,0.13903030910258282
pbrand,0.0796911921339542,0.0796911921339542
pplezier,0.04488435359347509,0.04488435359347509
mberarbg,0.03854918582992958,0.03854918582992958
mberhoog,0.03707605321115128,0.03707605321115128
pwapart,0.03335183774205799,0.03335183774205799
mopllaag,0.032252225364648404,0.032252225364648404
mkoopkla,0.03186467230234279,0.03186467230234279
moshoofd,0.031434924922493584,0.031434924922493584
mhkoop,0.02531662710941394,0.02531662710941394
minkgem,0.024846369715489,0.024846369715489
aplezier,0.023806465908687298,0.023806465908687298
mbermidd,0.023712530203335077,0.023712530203335077
moplmidd,0.02145095385519614,0.02145095385519614
moplhoog,0.020059410100191154,0.020059410100191154
