feature,coefficient,abs_coefficient
pbesaut,-1.829418335686104,1.829418335686104
mberboer,-1.3255521865731816,1.3255521865731816
atractor,-1.1866778737891768,1.1866778737891768
mberzelf,-1.0553167326671784,1.0553167326671784
awaland,-1.0280652026765378,1.0280652026765378
ppersaut,0.8280882450316523,0.8280882450316523
mgodge,-0.6107694186319108,0.6107694186319108
mgodpr,-0.5536349876669693,0.5536349876669693
mgodrk,-0.5318013788400483,0.5318013788400483
awerkt,-0.4756429086915553,0.4756429086915553
mopllaag,-0.4520465167879359,0.4520465167879359
pplezier,0.43254323148701324,0.43254323148701324
mfgekind,-0.42058112482662197,0.42058112482662197
abesaut,-0.41801112765100124,0.41801112765100124
mskd,-0.4013831347804215,0.4013831347804215
